Days,Date,Accumulation
4,2014-08-13,0.77
5,2014-08-12,0.03
7,2014-08-10,0.19
15,2014-08-02,0.03
16,2014-08-01,0.03
17,2014-07-31,0.01
23,2014-07-25,0.01
34,2014-07-14,0.02
35,2014-07-13,0.02
39,2014-07-09,0.05
168,2014-03-02,0.02
169,2014-03-01,1.06
237,2013-12-23,0.01
240,2013-12-20,0.74
256,2013-12-04,0.03
267,2013-11-23,0.35
268,2013-11-22,1.91
269,2013-11-21,0.16
342,2013-09-09,0.68
343,2013-09-08,0.95
348,2013-09-03,0.13
349,2013-09-02,0.03
352,2013-08-30,0.13
356,2013-08-26,0.02
367,2013-08-15,0.04